Банк данных угроз безопасности информации;Угроза автоматического распространения вредоносного кода в грид-системе
Банк данных угроз безопасности информации;Угроза агрегирования данных, передаваемых в грид-системе
Банк данных угроз безопасности информации;Угроза анализа криптографических алгоритмов и их реализации
Банк данных угроз безопасности информации;Угроза аппаратного сброса пароля BIOS
Банк данных угроз безопасности информации;Угроза внедрения вредоносного кода в BIOS
Банк данных угроз безопасности информации;Угроза внедрения кода или данных
Банк данных угроз безопасности информации;Угроза воздействия на программы с высокими привилегиями
Банк данных угроз безопасности информации;Угроза восстановления аутентификационной информации
Банк данных угроз безопасности информации;Угроза восстановления предыдущей уязвимой версии BIOS
Банк данных угроз безопасности информации;Угроза выхода процесса за пределы виртуальной машины
Банк данных угроз безопасности информации;Угроза деавторизации санкционированного клиента беспроводной сети
Банк данных угроз безопасности информации;Угроза деструктивного изменения конфигурации/среды окружения программ
Банк данных угроз безопасности информации;Угроза деструктивного использования декларированного функционала BIOS
Банк данных угроз безопасности информации;Угроза длительного удержания вычислительных ресурсов пользователями
Банк данных угроз безопасности информации;Угроза доступа к защищаемым файлам с использованием обходного пути
Банк данных угроз безопасности информации;Угроза доступа к локальным файлам сервера при помощи URL
Банк данных угроз безопасности информации;Угроза доступа/перехвата/изменения HTTP cookies
Банк данных угроз безопасности информации;Угроза загрузки нештатной операционной системы
Банк данных угроз безопасности информации;Угроза заражения DNS-кеша
Банк данных угроз безопасности информации;Угроза злоупотребления возможностями, предоставленными потребителям облачных услуг
Банк данных угроз безопасности информации;Угроза злоупотребления доверием потребителей облачных услуг
Банк данных угроз безопасности информации;Угроза избыточного выделения оперативной памяти
Банк данных угроз безопасности информации;Угроза изменения компонентов системы
Банк данных угроз безопасности информации;Угроза изменения режимов работы аппаратных элементов компьютера
Банк данных угроз безопасности информации;Угроза изменения системных и глобальных переменных
Банк данных угроз безопасности информации;Угроза искажения XML-схемы
Банк данных угроз безопасности информации;Угроза искажения вводимой и выводимой на периферийные устройства информации
Банк данных угроз безопасности информации;Угроза использования альтернативных путей доступа к ресурсам
Банк данных угроз безопасности информации;Угроза использования вычислительных ресурсов суперкомпьютера «паразитными» процессами
Банк данных угроз безопасности информации;Угроза использования информации идентификации/аутентификации, заданной по умолчанию
Банк данных угроз безопасности информации;Угроза использования механизмов авторизации для повышения привилегий
Банк данных угроз безопасности информации;Угроза использования поддельных цифровых подписей BIOS
Банк данных угроз безопасности информации;Угроза использования слабостей кодирования входных данных
Банк данных угроз безопасности информации;Угроза использования слабостей протоколов сетевого/локального обмена данными
Банк данных угроз безопасности информации;Угроза использования слабых криптографических алгоритмов BIOS
Банк данных угроз безопасности информации;Угроза исследования механизмов работы программы
Банк данных угроз безопасности информации;Угроза исследования приложения через отчёты об ошибках
Банк данных угроз безопасности информации;Угроза исчерпания вычислительных ресурсов хранилища больших данных
Банк данных угроз безопасности информации;Угроза исчерпания запаса ключей, необходимых для обновления BIOS
Банк данных угроз безопасности информации;Угроза конфликта юрисдикций различных стран
Банк данных угроз безопасности информации;Угроза межсайтового скриптинга
Банк данных угроз безопасности информации;Угроза межсайтовой подделки запроса
Банк данных угроз безопасности информации;Угроза нарушения доступности облачного сервера
Банк данных угроз безопасности информации;Угроза нарушения изоляции пользовательских данных внутри виртуальной машины
Банк данных угроз безопасности информации;Угроза нарушения изоляции среды исполнения BIOS
Банк данных угроз безопасности информации;Угроза нарушения процедуры аутентификации субъектов виртуального информационного взаимодействия
Банк данных угроз безопасности информации;Угроза нарушения работоспособности грид-системы при нетипичной сетевой нагрузке
Банк данных угроз безопасности информации;Угроза нарушения технологии обработки информации путём несанкционированного внесения изменений в образы виртуальных машин
Банк данных угроз безопасности информации;Угроза нарушения целостности данных кеша
Банк данных угроз безопасности информации;Угроза неверного определения формата входных данных, поступающих в хранилище больших данных
Банк данных угроз безопасности информации;Угроза невозможности восстановления сессии работы на ПЭВМ при выводе из промежуточных состояний питания
Банк данных угроз безопасности информации;Угроза невозможности миграции образов виртуальных машин из-за несовместимости аппаратного и программного обеспечения
Банк данных угроз безопасности информации;Угроза невозможности управления правами пользователей BIOS
Банк данных угроз безопасности информации;Угроза недобросовестного исполнения обязательств поставщиками облачных услуг
Банк данных угроз безопасности информации;Угроза незащищённого администрирования облачных услуг
Банк данных угроз безопасности информации;Угроза некачественного переноса инфраструктуры в облако
Банк данных угроз безопасности информации;Угроза неконтролируемого копирования данных внутри хранилища больших данных
Банк данных угроз безопасности информации;Угроза неконтролируемого роста числа виртуальных машин
Банк данных угроз безопасности информации;Угроза неконтролируемого роста числа зарезервированных вычислительных ресурсов
Банк данных угроз безопасности информации;Угроза неконтролируемого уничтожения информации хранилищем больших данных
Банк данных угроз безопасности информации;Угроза некорректного задания структуры данных транзакции
Банк данных угроз безопасности информации;Угроза некорректного использования прозрачного прокси-сервера за счёт плагинов браузера
Банк данных угроз безопасности информации;Угроза некорректного использования функционала программного обеспечения
Банк данных угроз безопасности информации;Угроза некорректной реализации политики лицензирования в облаке
